Date,Open,High,Low,Close,Volume
2021/10/25,0.929,0.933,0.924,0.933,1805800
2021/10/26,0.933,0.942,0.93,0.93,1639300
2021/10/27,0.93,0.93,0.916,0.917,2078800
2021/10/28,0.92,0.92,0.909,0.911,2102200
2021/10/29,0.911,0.915,0.906,0.915,2404700
2021/11/1,0.91,0.913,0.904,0.912,3251700
2021/11/2,0.914,0.917,0.9,0.901,2917200
2021/11/3,0.9,0.908,0.897,0.904,2896900
2021/11/4,0.905,0.917,0.905,0.915,2961500
2021/11/5,0.915,0.921,0.913,0.913,1884900
2021/11/8,0.913,0.913,0.906,0.908,2309800
2021/11/9,0.908,0.916,0.908,0.915,843800
2021/11/10,0.916,0.916,0.903,0.912,1612700
2021/11/11,0.909,0.922,0.909,0.922,1501400
2021/11/12,0.923,0.925,0.921,0.923,524400
2021/11/15,0.926,0.929,0.921,0.921,1397400
2021/11/16,0.922,0.93,0.922,0.926,3233400
2021/11/17,0.926,0.932,0.925,0.931,9688500
2021/11/18,0.928,0.928,0.919,0.919,2307200
2021/11/19,0.922,0.926,0.921,0.926,804000
2021/11/22,0.929,0.934,0.929,0.932,864300
2021/11/23,0.928,0.928,0.923,0.928,774800
2021/11/24,0.922,0.925,0.919,0.921,998700
2021/11/25,0.921,0.927,0.921,0.924,951600
2021/11/26,0.929,0.929,0.911,0.912,1494600
2021/11/29,0.908,0.915,0.904,0.906,657000
2021/11/30,0.907,0.912,0.9,0.906,975700
2021/12/1,0.911,0.915,0.91,0.915,2079300
2021/12/2,0.91,0.911,0.908,0.908,673900
2021/12/3,0.908,0.914,0.907,0.912,668400
2021/12/6,0.912,0.913,0.9,0.901,2307600
2021/12/7,0.906,0.909,0.9,0.909,2745900
2021/12/8,0.911,0.921,0.909,0.921,3491600
2021/12/9,0.923,0.935,0.923,0.931,3117300
2021/12/10,0.927,0.928,0.923,0.923,558400
2021/12/13,0.926,0.938,0.926,0.93,1937800
2021/12/14,0.93,0.93,0.915,0.916,1077000
2021/12/15,0.916,0.921,0.91,0.91,4909300
2021/12/16,0.908,0.912,0.904,0.909,1029500
2021/12/17,0.912,0.912,0.902,0.904,2742900
2021/12/20,0.901,0.904,0.881,0.884,11558200
2021/12/21,0.884,0.89,0.88,0.889,2511800
2021/12/22,0.896,0.898,0.891,0.894,1410200
2021/12/23,0.899,0.903,0.899,0.901,562100
2021/12/24,0.901,0.903,0.894,0.895,275200
2021/12/27,0.895,0.897,0.891,0.892,688700
2021/12/28,0.893,0.895,0.89,0.895,758200
2021/12/29,0.891,0.893,0.888,0.89,1073500
2021/12/30,0.894,0.902,0.894,0.896,903000
2021/12/31,0.9,0.906,0.9,0.903,1195800
2022/1/4,0.903,0.908,0.898,0.905,1789500
2022/1/5,0.898,0.899,0.883,0.886,1769900
2022/1/6,0.882,0.887,0.876,0.884,1859500
2022/1/7,0.893,0.899,0.892,0.892,1003700
2022/1/10,0.887,0.9,0.885,0.899,1085700
2022/1/11,0.899,0.899,0.88,0.881,3256000
2022/1/12,0.886,0.904,0.886,0.903,1641200
2022/1/13,0.901,0.901,0.886,0.887,3050200
2022/1/14,0.883,0.896,0.883,0.894,3031300
2022/1/17,0.889,0.9,0.889,0.895,2475800
2022/1/18,0.895,0.903,0.892,0.894,2384800
2022/1/19,0.9,0.901,0.886,0.887,1444000
2022/1/20,0.892,0.894,0.888,0.89,608400
2022/1/21,0.888,0.89,0.879,0.881,1032800
2022/1/24,0.885,0.885,0.875,0.878,3069300
2022/1/25,0.877,0.877,0.853,0.853,2874500
2022/1/26,0.862,0.864,0.851,0.859,2480800
2022/1/27,0.853,0.853,0.835,0.836,2557500
2022/1/28,0.841,0.841,0.823,0.829,1577500
2022/2/7,0.852,0.852,0.842,0.842,1315700
2022/2/8,0.839,0.843,0.828,0.843,2410100
2022/2/9,0.831,0.858,0.831,0.857,1694700
2022/2/10,0.856,0.857,0.849,0.853,250500
2022/2/11,0.845,0.849,0.835,0.835,1760100
2022/2/14,null,null,null,null,null
2022/2/15,0.837,0.844,0.835,0.839,1153500
2022/2/16,0.844,0.85,0.844,0.847,1129900
2022/2/17,0.847,0.853,0.847,0.848,778600
2022/2/18,0.848,0.851,0.847,0.851,1851900
2022/2/21,0.845,0.849,0.845,0.847,803800
2022/2/22,0.838,0.838,0.825,0.827,1590700
2022/2/23,0.838,0.849,0.838,0.848,1361000
