年度标识,财政收入,财政支出,收支差额
1950,62.17,68.05,-5.88
1951,124.96,122.07,2.89
1952,173.94,172.07,1.87
1953,213.24,219.21,-5.97
1954,245.17,244.11,1.06
1955,249.27,262.73,-13.46
1956,280.19,298.52,-18.33
1957,303.2,295.95,7.25
1958,379.62,400.36,-20.74
1959,487.12,543.17,-56.05
1960,572.29,643.68,-71.39
1961,356.06,356.09,-0.03
1962,313.55,294.88,18.67
1963,342.25,332.05,10.2
1964,399.54,393.79,5.75
1965,473.32,459.97,13.35
1966,558.71,537.65,21.06
1967,419.36,439.84,-20.48
1968,361.25,357.84,3.41
1969,526.76,525.86,0.9
1970,662.9,649.41,13.49
1971,744.73,732.17,12.56
1972,766.56,765.86,0.7
1973,809.67,808.78,0.89
1974,783.14,790.25,-7.11
1975,815.61,820.88,-5.27
1976,776.58,806.2,-29.62
1977,874.46,843.53,30.93
1978,1132.26,1122.09,10.17
1979,1146.38,1281.79,-135.41
1980,1159.93,1228.83,-68.9
1981,1175.79,1138.41,37.38
1982,1212.33,1229.98,-17.65
1983,1366.95,1409.52,-42.57
1984,1642.86,1701.02,-58.16
1985,2004.82,2004.25,0.57
1986,2122.01,2204.91,-82.9
1987,2199.35,2262.18,-62.83
1988,2357.24,2491.21,-133.97
1989,2664.9,2823.78,-158.88
1990,2937.1,3083.59,-146.49
1991,3149.48,3386.62,-237.14
1992,3483.37,3742.2,-258.83
1993,4348.95,4642.3,-293.35
1994,5218.1,5792.62,-574.52
1995,6242.2,6823.72,-581.52
1996,7407.99,7937.55,-529.56
1997,8651.14,9233.56,-582.42
1998,9875.95,10798.18,-922.23
1999,11444.08,13187.67,-1743.59
2000,13395.23,15886.5,-2491.27
2001,16386.04,18902.58,-2516.54
2002,18903.64,22053.15,-3149.51
2003,21715.25,24649.95,-2934.7
2004,26396.47,28486.89,-2090.42
2005,31649.29,33930.28,-2280.99
2006,38760.2,40422.73,-1662.53
2007,51321.78,49781.35,1540.43
2008,61330.35,62592.66,-1262.31
2009,68518.3,76299.93,-7781.63
2010,83101.51,89874.16,-6772.65
2011,103874.43,109247.79,-5373.36
2012,117253.52,125952.97,-8699.45
2013,129209.64,140212.1,-11002.46
2014,140370.03,151785.56,-11415.53
2015,152269.23,175877.77,-23608.54
2016,159604.97,187755.21,-28150.24
2017,172592.77,203085.49,-30492.72
2018,183359.84,220904.13,-37544.29
2019,190390.08,238858.37,-48468.29
2020,182913.88,245679.03,-62765.15
2021,202554.64,245673,-43118.36
