Date,Market,XingQuan,YinHe,JiaoYin
11-Jul,-1.34,4.58,0.84,-0.5
11-Aug,-4.88,-3.13,-0.96,-3.61
11-Sep,-9.15,-11.38,-8.9,-1.87
11-Oct,4.06,4.02,3.85,0.21
11-Nov,-5.35,-1.97,-0.22,-2.96
11-Dec,-7.55,-7.12,-8.62,-8.83
12-Jan,3.02,-5.59,-4.3,-4.31
12-Feb,6.82,9.57,8.14,7.38
12-Mar,-7.17,-3.47,-2.87,-4.07
12-Apr,5.66,5.6,2.95,3.16
12-May,-0.33,2.28,3.15,3.65
12-Jun,-5.3,-5.32,1.93,-4.43
12-Jul,-5.75,-7.41,-1.84,-5.23
12-Aug,-2.58,0.76,1.09,-0.88
12-Sep,2.16,0.7,3.09,4.3
12-Oct,-1.18,-1.12,0.57,0.24
12-Nov,-6.22,-9.19,-5.54,-7.26
12-Dec,14.83,19.33,12.33,12.39
13-Jan,4.87,9.15,4.34,6.5
13-Feb,-0.2,0.84,4.74,5.12
13-Mar,-5.33,0.39,3.83,3.94
13-Apr,-2.64,0.24,-0.15,-2.09
13-May,7.42,9.91,11.4,13.24
13-Jun,-13.68,-6.2,-6.73,-7.82
13-Jul,2.51,3.06,8.98,6.34
13-Aug,5.04,2.33,1.51,1.74
13-Sep,3.95,6.34,9.19,3.52
13-Oct,-2.2,0.32,-6.46,-6.53
13-Nov,4.15,4.26,7.26,9.13
13-Dec,-4.37,-1.14,-2.66,-1.54
14-Jan,-2.65,1.16,6.31,2.17
14-Feb,0.97,3.89,-1.18,1.02
14-Mar,-2.18,-3.1,-7.4,-3.11
14-Apr,-0.83,1.46,-3.22,-1.21
14-May,1.16,-0.38,1.21,-0.79
14-Jun,2.32,4.63,4.06,4.07
14-Jul,8.17,4.78,0.07,3.74
14-Aug,1.5,2.95,2.86,4.51
14-Sep,7.7,4.95,7.64,6.9
14-Oct,1.97,-0.94,-1.47,-0.15
14-Nov,9.12,3.86,9.69,0.15
14-Dec,14.94,10.26,0.09,-3.52
15-Jan,1.04,1.8,7.7,13.31
15-Feb,4.28,7.81,11.38,7.92
15-Mar,15.17,15.24,18.66,16.6
15-Apr,17.78,11.42,14.53,12.64
15-May,8.23,14.44,24.67,21.92
15-Jun,-7.97,-1.56,-19.16,-10.6
15-Jul,-15.13,-6.33,-13.62,-12.16
15-Aug,-14.36,-8.49,-13.57,-8.46
15-Sep,-5.4,1.81,-0.07,1.4
15-Oct,13.84,15.97,15.51,20.78
15-Nov,3.76,13.82,8.43,8.82
15-Dec,3.85,2.43,5.91,6.97
16-Jan,-25.06,-22.91,-24.14,-25.77
16-Feb,-2.3,0.73,-5.17,-2.81
16-Mar,13.97,15.36,13.73,17.38
16-Apr,-2.12,-1.6,-2.61,-0.54
