Date,恒生指数,长和,中移动,汇丰,腾讯
2020/1/3,0,-0.01,-0.01,-0.01,0
2020/1/6,-0.00792,-0.00742,-0.00233,-0.00662,-0.01462
2020/1/7,0.0034,-0.0068,-0.007,-0.00167,0.02173
2020/1/8,-0.00827,-0.01232,0.00078,-0.01002,-0.00934
2020/1/9,0.01684,0.01871,0.01566,0.00927,0.02094
2020/1/10,0.0027,0.00748,-0.01002,0,0.02205
2020/1/13,0.01106,0.01148,0.01869,0.00167,0.01957
2020/1/14,-0.00241,0.00267,0.0107,-0.00334,-0.01476
2020/1/15,-0.00386,-0.00133,-0.00454,0.00084,-0.004
2020/1/16,0.0038,0,0.00304,0.00167,0.00301
2020/1/17,0.006,0.004,0.00303,0.00417,-0.0025
2020/1/20,-0.00897,0,0.03701,-0.00333,-0.00752
2020/1/21,-0.02815,-0.01461,-0.02476,-0.01334,-0.02677
2020/1/22,0.01271,0.00472,0.03659,0.00254,0.01453
2020/1/23,-0.01524,-0.00537,-0.02017,-0.0059,-0.01381
2020/1/24,0.00145,0.0027,0.025,-0.00339,0.00052
2020/1/29,-0.02823,-0.03295,-0.03013,-0.02043,-0.00674
2020/1/30,-0.0262,-0.02782,-0.04438,-0.01477,-0.0214
2020/1/31,-0.00516,-0.00858,-0.00619,0.00265,-0.00533
2020/2/3,0.00169,-0.01227,-0.00623,-0.00616,0.01877
2020/2/4,0.0121,0.00073,0,0.00177,0.03421
2020/2/5,0.00415,0.00365,-0.00157,0.00353,-0.00204
2020/2/6,0.02639,0.02182,0.05416,0.01937,0.01989
2020/2/7,-0.00325,0.00071,0.00223,-0.00173,0.006
2020/2/10,-0.00595,-0.00498,-0.00669,0.00519,-0.00447
2020/2/11,0.01257,0.00357,-0.00598,0.00947,0.02097
2020/2/12,0.00869,0.00855,0,0.01194,0.00489
2020/2/13,-0.00337,-0.00424,-0.00602,0.00168,0.01314
2020/2/14,0.00309,0.00496,-0.01438,0.00336,-0.00336
2020/2/17,0.00518,0.00776,0.01382,-0.00419,0.00386
2020/2/18,-0.01536,-0.01541,-0.00379,-0.02778,-0.02016
2020/2/19,0.00456,-0.00356,0.01977,-0.01299,0.00784
2020/2/20,-0.00169,-0.00143,-0.00447,-0.00351,-0.0034
2020/2/21,-0.01088,-0.00786,-0.00974,-0.00264,-0.02195
2020/2/24,-0.01787,-0.00937,-0.00983,-0.00265,-0.02643
2020/2/25,0.0027,-0.00436,-0.01299,-0.00796,0.02869
2020/2/26,-0.00732,-0.00219,-0.02322,-0.00803,-0.00498
2020/2/27,0.00308,0.00732,0.00475,-0.02158,-0.001
2020/2/28,-0.02422,-0.01381,-0.03312,-0.02298,-0.03307
2020/3/2,0.00619,-0.01548,0,-0.00659,0.00933
2020/3/3,-0.00026,0.0015,-0.00979,-0.00473,0.01129
2020/3/4,-0.00239,0.00673,0.01153,-0.02284,0
2020/3/5,0.02081,0.00668,0.01792,0.00876,0.03096
