Date,MKT,SMB,HML,RMW,CMA,Momentum,XingQuan,YinHe,JiaoYin,MKT_C,SMB_C,HML_C,RMW_C,CMA_C,Momentum_C,XingQuan_C,YinHe_C,JiaoYin_C
11-Jul,-1.3373,1.9933,-4.1489,0.731,-0.3771,3.36,4.58,0.8412,-0.5,-1.3373,1.9933,-4.1489,0.731,-0.3771,3.36,4.58,0.8412,-0.5
11-Aug,-4.8846,2.1839,-2.9256,3.0565,-2.6217,-1.53,-3.13,-0.9593,-3.61,-6.2219,4.1772,-7.0745,3.7875,-2.9988,1.83,1.45,-0.1181,-4.11
11-Sep,-9.1541,-3.1238,4.4743,1.0613,2.0425,-11.93,-11.38,-8.8966,-1.87,-14.0387,-0.9399,1.5487,4.1178,-0.5792,-13.46,-14.51,-9.8559,-5.48
11-Oct,4.0639,0.3317,0.581,-0.1072,0.1419,2.97,4.02,3.8484,0.21,-5.0902,-2.7921,5.0553,0.9541,2.1844,-8.96,-7.36,-5.0482,-1.66
11-Nov,-5.3547,1.3279,-3.086,0.3611,0.5766,-0.52,-1.97,-0.2226,-2.96,-1.2908,1.6596,-2.505,0.2539,0.7185,2.45,2.05,3.6258,-2.75
11-Dec,-7.546,-7.564,7.9957,7.8794,-1.9751,-12.18,-7.12,-8.6215,-8.83,-12.9007,-6.2361,4.9097,8.2405,-1.3985,-12.7,-9.09,-8.8441,-11.79
12-Jan,3.016,-4.0968,1.9602,-0.7001,1.2772,0.59,-5.59,-4.2964,-4.31,-4.53,-11.6608,9.9559,7.1793,-0.6979,-11.59,-12.71,-12.9179,-13.14
12-Feb,6.825,5.0831,-4.58,-2.5557,-1.4146,10.45,9.57,8.1367,7.38,9.841,0.9863,-2.6198,-3.2558,-0.1374,11.04,3.98,3.8403,3.07
12-Mar,-7.174,0.6842,-0.6282,2.4289,-0.605,-5.58,-3.47,-2.8659,-4.07,-0.349,5.7673,-5.2082,-0.1268,-2.0196,4.87,6.1,5.2708,3.31
12-Apr,5.6551,3.269,0.2027,-2.0464,-0.0968,7.23,5.6,2.9505,3.16,-1.5189,3.9532,-0.4255,0.3825,-0.7018,1.65,2.13,0.0846,-0.91
12-May,-0.3279,0.32,-3.569,0.0541,-1.7922,1.45,2.28,3.149,3.65,5.3272,3.589,-3.3663,-1.9923,-1.889,8.68,7.88,6.0995,6.81
12-Jun,-5.3,-1.6642,-1.9341,2.2282,-1.4698,-4.17,-5.32,1.9323,-4.43,-5.6279,-1.3442,-5.5031,2.2823,-3.262,-2.72,-3.04,5.0813,-0.78
12-Jul,-5.7481,-2.9182,0.8264,2.8976,-1.138,-4.14,-7.41,-1.8396,-5.23,-11.0481,-4.5824,-1.1077,5.1258,-2.6078,-8.31,-12.73,0.0927,-9.66
12-Aug,-2.5813,5.5248,-1.4584,-2.7963,2.6232,-9.18,0.76,1.0856,-0.88,-8.3294,2.6066,-0.632,0.1013,1.4852,-13.32,-6.65,-0.754,-6.11
12-Sep,2.1644,-2.531,-1.9085,2.1709,-2.4862,4.51,0.7,3.0861,4.3,-0.4169,2.9938,-3.3669,-0.6254,0.137,-4.67,1.46,4.1717,3.42
12-Oct,-1.1813,1.9397,1.3832,0.1795,0.3808,-4.36,-1.12,0.5702,0.24,0.9831,-0.5913,-0.5253,2.3504,-2.1054,0.15,-0.42,3.6563,4.54
12-Nov,-6.2186,-4.8451,6.0226,0.9597,0.536,-9.7,-9.19,-5.5392,-7.26,-7.3999,-2.9054,7.4058,1.1392,0.9168,-14.06,-10.31,-4.969,-7.02
12-Dec,14.8344,1.5026,-0.9038,1.6939,-1.3943,13.75,19.33,12.3283,12.39,8.6158,-3.3425,5.1188,2.6536,-0.8583,4.05,10.14,6.7891,5.13
13-Jan,4.868,3.3806,-0.6789,-2.3507,0.7234,-1.97,9.15,4.3367,6.5,19.7024,4.8832,-1.5827,-0.6568,-0.6709,11.78,28.48,16.665,18.89
13-Feb,-0.1992,3.1451,-1.5104,-0.6965,-0.1496,-2.82,0.84,4.7375,5.12,4.6688,6.5257,-2.1893,-3.0472,0.5738,-4.79,9.99,9.0742,11.62
13-Mar,-5.332,1.5904,-0.3518,-2.4818,1.4865,-8.37,0.39,3.8273,3.94,-5.5312,4.7355,-1.8622,-3.1783,1.3369,-11.19,1.23,8.5648,9.06
13-Apr,-2.6443,-0.7825,0.7256,0.0547,-0.7742,-2.29,0.24,-0.154,-2.09,-7.9763,0.8079,0.3738,-2.4271,0.7123,-10.66,0.63,3.6733,1.85
13-May,7.4198,4.1727,-8.2761,-2.8373,-1.6791,7.37,9.91,11.4024,13.24,4.7755,3.3902,-7.5505,-2.7826,-2.4533,5.08,10.15,11.2484,11.15
