Date,HSI
2012-01-04,-150.09961 
2012-01-05,86.09961 
2012-01-06,-220.34961 
2012-01-09,272.66016 
2012-01-10,138.55859 
2012-01-11,147.66016 
2012-01-12,-56.55859 
2012-01-13,109.03906 
2012-01-16,-192.22070 
2012-01-17,615.55078 
2012-01-18,59.16992 
2012-01-19,256.02930 
2012-01-20,167.41992 
2012-01-26,328.77148 
2012-01-27,62.52930 
2012-01-30,-341.25977 
2012-01-31,230.08008 
2012-02-01,-57.12109 
2012-02-02,406.08008 
2012-02-03,17.53125 
2012-02-06,-47.04102 
2012-02-07,-10.75000 
2012-02-08,319.27149 
2012-02-09,-8.45117 
2012-02-10,-226.15039 
2012-02-13,103.54102 
2012-02-14,30.42969 
2012-02-15,447.40039 
2012-02-16,-87.95117 
2012-02-17,214.33984 
2012-02-20,-66.83008 
2012-02-21,53.93164 
2012-02-22,70.55859 
2012-02-23,-168.28906 
2012-02-24,25.86914 
2012-02-27,-189.00000 
2012-02-28,350.87109 
2012-02-29,111.34961 
2012-03-01,-292.11914 
2012-03-02,174.29883 
2012-03-05,-296.94922 
2012-03-06,-459.06055 
2012-03-07,-178.47070 
2012-03-08,272.95117 
2012-03-09,185.26953 
2012-03-12,48.17969 
2012-03-13,205.51953 
2012-03-14,-31.80859 
2012-03-15,45.63867 
2012-03-16,-35.67969 
2012-03-20,-429.60938 
2012-03-21,-31.60938 
2012-03-22,44.92969 
2012-03-23,-232.75977 
2012-03-26,0.05859 
2012-03-27,378.05078 
2012-03-28,-161.49023 
2012-03-29,-276.02930 
2012-03-30,-53.81055 
2012-04-02,-33.32031 
2012-04-03,268.72070 
2012-04-05,-197.98047 
2012-04-10,-236.75977 
2012-04-11,-215.57031 
2012-04-12,186.65039 
2012-04-13,373.71875 
2012-04-16,-90.39844 
2012-04-17,-48.33008 
2012-04-18,218.41992 
2012-04-19,214.27930 
2012-04-20,15.63086 
2012-04-23,-386.25000 
2012-04-24,52.76953 
2012-04-25,-30.87109 
2012-04-26,163.42188 
2012-04-27,-68.26172 
2012-04-30,352.76172 
2012-05-02,214.86914 
2012-05-03,-59.55078 
2012-05-04,-163.52930 
2012-05-07,-549.34961 
2012-05-08,-51.90039 
2012-05-09,-154.10938 
2012-05-10,-103.36133 
2012-05-11,-262.64844 
2012-05-14,-229.59180 
2012-05-15,159.27148 
2012-05-16,-634.48047 
2012-05-17,-58.90039 
2012-05-18,-249.08008 
2012-05-21,-29.52930 
2012-05-22,116.83008 
2012-05-23,-252.96094 
2012-05-24,-119.78906 
2012-05-25,47.00977 
2012-05-28,87.58008 
2012-05-29,254.47070 
2012-05-30,-365.24024 
2012-05-31,-60.70117 
2012-06-01,-71.17969 
2012-06-04,-372.75000 
2012-06-05,73.43945 
2012-06-06,261.50000 
2012-06-07,157.75977 
2012-06-08,-175.94922 
2012-06-11,451.29102 
2012-06-12,-81.07031 
2012-06-13,153.95898 
2012-06-14,-218.11914 
2012-06-15,425.53906 
2012-06-18,193.87109 
2012-06-19,-11.14063 
2012-06-20,102.17969 
2012-06-21,-253.77930 
2012-06-22,-269.93945 
2012-06-25,-97.68164 
2012-06-26,84.39063 
2012-06-27,195.10938 
2012-06-28,-151.67969 
2012-06-29,416.19141 
2012-07-03,294.06836 
2012-07-04,-25.77930 
2012-07-05,99.38086 
2012-07-06,-8.49023 
2012-07-09,-372.55078 
2012-07-10,-31.73047 
2012-07-11,23.50977 
2012-07-12,-394.75977 
