date,US_rate,Korea,Indonesia,Tailand,Malaysia,Vietnam,HSI
2011/10/4,0.07,1706.19,569.457,855.45,1361.38,418.18,16250.26953
2011/10/5,0.07,1666.52,574.088,862.65,1375.67,417.21,16250.26953
2011/10/3,0.08,1769.65,584.218,869.31,1367.52,422.12,16822.15039
2011/10/6,0.07,1710.32,603.629,913.72,1393.69,421.32,17172.2793
2011/9/26,0.08,1652.71,574.153,904.06,1331.8,434.43,17407.80078
2011/9/30,0.06,1769.65,622.636,916.21,1387.13,427.6,17592.41016
2011/10/1,0.06,1769.65,622.636,916.21,1387.13,427.6,17592.41016
2011/10/2,0.06,1769.65,622.636,916.21,1387.13,427.6,17592.41016
2011/9/23,0.08,1697.44,592.718,958.16,1365.94,440.3,17668.83008
2011/9/24,0.08,1697.44,592.718,958.16,1365.94,440.3,17668.83008
2011/9/25,0.08,1697.44,592.718,958.16,1365.94,440.3,17668.83008
2011/11/25,0.07,1776.4,641.429,967.18,1431.55,383.35,17689.48047
2011/11/26,0.07,1776.4,641.429,967.18,1431.55,383.35,17689.48047
2011/11/27,0.07,1776.4,641.429,967.18,1431.55,383.35,17689.48047
2011/10/7,0.07,1759.77,600.231,909.17,1400.05,417.96,17707.00977
2011/10/8,0.07,1759.77,600.231,909.17,1400.05,417.96,17707.00977
2011/10/9,0.07,1759.77,600.231,909.17,1400.05,417.96,17707.00977
2011/10/10,0.07,1766.44,605.964,923.17,1397.04,419.66,17711.06055
2011/11/23,0.09,1783.1,651.044,976.87,1433.17,388.57,17864.42969
2011/9/22,0.08,1800.55,578.207,990.59,1387.81,449.26,17911.94922
2011/11/24,0.09,1795.06,653.303,980.5,1447.99,381.78,17935.09961
2011/10/20,0.07,1805.09,641.276,909.1,1441.18,403.73,17983.09961
2011/11/30,0.1,1847.51,656.408,995.33,1472.1,380.69,17989.34961
2011/9/28,0.08,1723.08,614.531,931.6,1371.55,433.97,18011.06055
2011/9/29,0.08,1769.29,620.814,926.21,1387.46,428.08,18011.06055
2011/10/21,0.07,1838.38,640.245,916.34,1438.83,411.03,18025.7207
2011/10/22,0.07,1838.38,640.245,916.34,1438.83,411.03,18025.7207
2011/10/23,0.07,1838.38,640.245,916.34,1438.83,411.03,18025.7207
2011/12/15,0.07,1819.11,650.075,1024.16,1464.11,364.48,18026.83984
2011/11/28,0.08,1815.28,643.145,984.18,1431.55,383.31,18037.81055
2011/12/19,0.07,1776.93,665.034,1033.55,1477.78,367.4,18070.21094
2011/10/18,0.07,1838.9,641.238,952.75,1439.94,404.32,18076.46094
