证券公司ID,证券公司名称,会计年度,净资本,净资本自然对数,活动分析师数量,发布研报数量
104776,中信证券股份有限公司,2022-12-31,1.36199E+11,25.63738473,41,26
10416,海通证券股份有限公司,2022-12-31,93818677554,25.26462979,85,1681
105523,华泰证券股份有限公司,2022-12-31,92969666665,25.25553911,74,2478
106064,国泰君安证券股份有限公司,2022-12-31,92874565553,25.25451566,142,2703
101506,广发证券股份有限公司,2022-12-31,79847245140,25.10338121,97,2005
106031,国信证券股份有限公司,2022-12-31,79435000000,25.09820491,70,1764
104096,中国银河证券股份有限公司,2022-12-31,79078332752,25.09370475,42,800
10974,招商证券股份有限公司,2022-12-31,70444812949,24.97809545,66,2058
107973,中信建投证券股份有限公司,2022-12-31,65197727450,24.90069045,15,13
104274,东方财富证券股份有限公司,2022-12-31,50143688364,24.63815849,12,512
104059,光大证券股份有限公司,2022-12-31,48853130507,24.6120843,47,1926
106071,东方证券股份有限公司,2022-12-31,47377141480,24.5814057,55,945
104149,平安证券股份有限公司,2022-12-31,40984000000,24.43644758,43,491
105045,兴业证券股份有限公司,2022-12-31,30283508441,24.13386913,77,2146
104104,中泰证券股份有限公司,2022-12-31,28049946636,24.05725257,64,1928
107633,东吴证券股份有限公司,2022-12-31,25885706024,23.97695676,78,1949
104717,方正证券股份有限公司,2022-12-31,24699486530,23.93004829,17,39
105738,国金证券股份有限公司,2022-12-31,24056951187,23.90368982,48,1650
106033,长城证券股份有限公司,2022-12-31,23008361624,23.85912354,39,714
107618,西部证券股份有限公司,2022-12-31,22749492108,23.84780866,4,5
10134,财通证券股份有限公司,2022-12-31,20907508638,23.7633742,17,383
104988,国元证券股份有限公司,2022-12-31,20281172438,23.73295883,17,593
104094,浙商证券股份有限公司,2022-12-31,19977802591,23.71788762,69,2208
1085,红塔证券股份有限公司,2022-12-31,19477531090,23.69252739,12,65
103952,华西证券股份有限公司,2022-12-31,16465000000,23.52450275,51,1247
104493,国联证券股份有限公司,2022-12-31,16359290952,23.51806183,10,27
10161,国开证券股份有限公司,2022-12-31,15552000000,23.46745508,2,9
104384,天风证券股份有限公司,2022-12-31,15273877771,23.44940987,68,2605
104042,南京证券股份有限公司,2022-12-31,14890364336,23.42398015,9,38
104101,上海证券有限责任公司,2022-12-31,14879217600,23.42323128,10,192
105188,西南证券股份有限公司,2022-12-31,14561985039,23.40168021,32,1681
104230,中银国际证券股份有限公司,2022-12-31,13976698523,23.36065739,28,893
108486,国海证券股份有限公司,2022-12-31,13010100761,23.28899187,29,571
1095,财信证券股份有限公司,2022-12-31,12761221700,23.26967685,11,215
104302,华安证券股份有限公司,2022-12-31,12573129635,23.25482781,29,1083
104175,开源证券股份有限公司,2022-12-31,11752430100,23.18732587,40,1827
10362012,首创证券股份有限公司,2022-12-31,11393656625,23.1563226,20,801
104297,华龙证券股份有限公司,2022-12-31,11068865269,23.12740207,3,2
103137,山西证券股份有限公司,2022-12-31,10689304704,23.09250952,30,370
104097,信达证券股份有限公司,2022-12-31,10684563609,23.09206588,36,1206
104508,五矿证券有限公司,2022-12-31,9871529062,23.0129206,4,5
104011,华福证券有限责任公司,2022-12-31,9641213631,22.98931283,10,88
10129,国盛证券有限责任公司,2022-12-31,8660465582,22.88203432,90,1858
104169,民生证券股份有限公司,2022-12-31,8396797134,22.85111618,95,2302
104273,中航证券有限公司,2022-12-31,8348891963,22.84539467,28,373
106068,东莞证券股份有限公司,2022-12-31,8122879700,22.81795057,17,249
104229,中原证券股份有限公司,2022-12-31,8107804569,22.81609296,14,253
106070,东海证券股份有限公司,2022-12-31,7354055586,22.71851778,9,17
10884,太平洋证券股份有限公司,2022-12-31,7129953887,22.6875706,46,695
1098,中邮证券有限责任公司,2022-12-31,5890000000,22.49652183,27,298
104340,华鑫证券有限责任公司,2022-12-31,5858000000,22.49107409,17,828
104275,英大证券有限责任公司,2022-12-31,4869616400,22.306281,1,5
1086,万和证券股份有限公司,2022-12-31,4813707122,22.29473334,6,19
104171,粤开证券股份有限公司,2022-12-31,4768545559,22.28530718,2,4
1084,华宝证券股份有限公司,2022-12-31,4377712130,22.19979208,2,3
10133,德邦证券股份有限公司,2022-12-31,4274491011,22.17593087,3,3
104236,长城国瑞证券有限公司,2022-12-31,2912965600,21.79243751,7,27
10166,川财证券有限责任公司,2022-12-31,1238187030,20.93691407,2,95
10431009,东亚前海证券有限责任公司,2022-12-31,1128000000,20.84371199,6,317
