firm_code,year,TFP,Data,Industry,SOE,Incentive_F,Incentive_M,Senior_Edu,CEO_Edu,Ln_Age
101031005,2017,-0.64179176,0.22569445,"Education, art, sport and entertainment product",0,0.41666669,0.41666669,10.5,0,2.1972246
101031006,2017,-1.1235529,0.47222221,"Education, art, sport and entertainment product",0,,0.47916669,11,1,2.5649493
101031010,2017,-2.874125,0.15277778,Clothing ,0,,,,0,1.9459101
101031014,2017,0.013693527,0.53819442,Electrical machinery and equipment,0,0.5625,0.8125,,1,1.7917595
101031015,2017,1.9557925,0.5486111,Special equipment manufacturing industry,0,0.9375,0.8125,,1,3.1780539
101031019,2017,,0.47222221,Pharmaceutical industry,1,0.60416669,0.54166669,17.5,1,3.2188759
101031023,2017,-2.438355,0.3611111,Clothing ,0,0.6875,0.6875,10.5,0,2.3978953
101031025,2017,2.5285728,0.49652779,"Wine, beverage and refined tea manufacturing",1,0.70833331,0.64583331,16,1,2.7725887
101031030,2017,1.6511594,0.44444445,Pharmaceutical industry,1,0.6875,0.6875,19,1,3.2188759
101031031,2017,1.4388763,0.41666666,Pharmaceutical industry,0,0.72916669,0.72916669,16,1,4.0775375
101031034,2017,-0.53369671,0.4826389,Clothing ,0,0.45833334,0.45833334,,0,1.7917595
101031043,2017,1.498951,0.46180555,Pharmaceutical industry,1,0.9375,0.6875,16,1,4.0253515
101031047,2017,0.78056586,0.44444445,Special equipment manufacturing industry,0,0.5,0.25,12,1,3.2188759
101031051,2017,-1.9693142,0.4861111,Printing,0,0.58333331,0.70833331,12,0,1.7917595
101031052,2017,-2.6531055,0.4513889,Textile Industry,0,,,11,1,1.6094379
101031055,2017,-3.2529867,0.56944442,Clothing ,0,,,,0,0.69314718
101031056,2017,0.56132567,0.027777778,Clothing ,0,0.5625,0.79166669,,0,1.7917595
101031059,2017,-1.5192938,0.15277778,Textile Industry,0,,,10.5,0,0.69314718
101031062,2017,,0.4861111,Clothing ,0,,0,7.5,0,0.69314718
101031064,2017,-3.0599022,0.45833334,Printing,0,0.375,0.5,10.5,0,1.3862944
101031065,2017,-1.4908029,0.31597221,Others,0,0.33333334,0.39583334,12,1,0.69314718
101031068,2017,-1.4457302,0.52777779,Clothing ,0,,,,0,1.3862944
101032004,2017,-0.688775,0.079861112,Printing,0,0.45833334,,12,0,2.0794415
101032006,2017,-0.68879336,0.56944442,Printing,0,,,15,1,2.8903718
101032008,2017,0.007166033,0.28819445,"Computer, communications and other electronic equipment",0,,0.66666669,11,1,3.0445225
101032011,2017,0.3151474,0.37847224,Electrical machinery and equipment,0,,,9,0,2.6390574
101032014,2017,-1.3344051,0.5486111,"Computer, communications and other electronic equipment",0,0.6875,0.9375,10.5,1,2.0794415
101032016,2017,0.57522619,0.56944442,"Education, art, sport and entertainment product",0,0.5625,0.5625,15,1,2.7080503
101032017,2017,1.9922801,0.5,Chemical industry,0,0.58333331,0.52083331,11,1,2.8903718
101032021,2017,-0.88225585,0.3611111,"Education, art, sport and entertainment product",0,0.47916669,0.41666669,10.5,1,2.7725887
101032024,2017,0.099962845,0.027777778,Metal product industry,0,0.39583334,0.27083334,12.5,0,2.9957323
101032025,2017,0.41368145,0.15277778,Clothing ,0,0.33333334,,11,1,3.2188759
101032026,2017,-0.93508071,0.40277779,"Computer, communications and other electronic equipment",0,0.875,0.9375,12,1,3.2188759
101032034,2017,1.2659558,0.56944442,Electrical machinery and equipment,0,0.6875,0.75,13,1,3.1780539
101032038,2017,1.539338,0.8611111,Electrical machinery and equipment,1,0.52083331,0.52083331,15,1,3.3672957
101032042,2017,-1.1875546,0.38194445,Special equipment manufacturing industry,0,0.375,,13.5,1,2.1972246
101032043,2017,0.029456615,0.069444448,"Leather, fur, feathers and footwear industry",0,0.52083331,,15.5,1,2.3025851
101032044,2017,-0.55817288,0.4236111,"Leather, fur, feathers and footwear industry",0,0.625,,15,0,2.0794415
101032045,2017,-0.3380875,0.55555558,Others,0,0.5625,0.5625,16,1,1.3862944
101032047,2017,-0.81373411,0.28819445,Special equipment manufacturing industry,0,0.3125,0.3125,13.5,1,3.1354942
101032052,2017,-2.4011023,0.027777778,Rubber and plastic products industry,0,0.58333331,0.77083331,12,0,2.7725887
101032053,2017,-0.35658538,0.6388889,Electrical machinery and equipment,0,,,12,1,2.7080503
101032055,2017,-0.11506218,0.58333331,"Leather, fur, feathers and footwear industry",0,0.64583331,0.77083331,14,0,2.1972246
101032056,2017,-1.5699831,0.027777778,Clothing ,0,,,7.5,0,1.0986123
101032058,2017,-1.3827201,0.53819442,Furniture manufacturing,0,,,13.5,0,0.69314718
101032060,2017,-0.2300888,0.6111111,Clothing ,0,0.6875,0.54166669,9,0,0.69314718
101032061,2017,1.409779,0.52777779,"Computer, communications and other electronic equipment",0,0.64583331,0.64583331,13,1,1.3862944
103033003,2017,-0.11078891,0.45833334,Metal product industry,0,0.75,0.8125,13.5,0,2.3025851
103033004,2017,0.23754393,0.46180555,Metal product industry,0,0.41666669,0.41666669,12,0,2.3025851
103033005,2017,0.40822789,0.52430558,Special equipment manufacturing industry,0,0.54166669,0.41666669,12,1,2.8332133
103033011,2017,-0.26789859,0.46180555,"Computer, communications and other electronic equipment",0,0.47916669,0.47916669,12,1,2.0794415
