id_n,year,income,debt_r,FinanceCF,Inv,lAsset/Size,cash,Inv_income,OperationCF,M&A
857,2019,44.15210 ,2.77107 ,-11.66803 ,13.34021 ,21.57242 ,0.00017 ,4.03479 ,154,1
857,2015,24.73190 ,2.77107 ,-19.43774 ,0.26736 ,21.57242 ,0.00017 ,0.64338 ,112,0
857,2014,54.31323 ,1.89872 ,-15.35304 ,106.21255 ,21.78321 ,0.00106 ,3.79807 ,124,0
857,2017,3.22939 ,1.23802 ,-5.76209 ,0.00097 ,23.52294 ,0.00237 ,0.36303 ,22,0
857,2008,8.80212 ,1.14015 ,0.42670 ,0.00125 ,23.63481 ,0.00215 ,0.23383 ,9,0
857,2011,63.82607 ,1.89872 ,3.20802 ,0.27372 ,21.78321 ,0.00106 ,3.77728 ,101,0
857,2007,59.26176 ,1.50152 ,-0.76781 ,0.09395 ,21.96129 ,0.00248 ,2.02883 ,59,0
857,2013,10.83151 ,1.23802 ,-0.74449 ,0.00000 ,23.52294 ,0.00237 ,0.62217 ,18,0
857,2012,9.07310 ,1.14015 ,4.09873 ,0.01218 ,23.63481 ,0.00215 ,0.44938 ,13,0
857,2016,3.47714 ,1.57886 ,-5.16156 ,0.03081 ,23.28682 ,0.00249 ,0.31621 ,20,0
857,2010,54.89036 ,1.50152 ,-17.67116 ,0.02117 ,21.96129 ,0.00248 ,2.04072 ,90,0
857,2009,8.59486 ,1.09799 ,3.25775 ,0.00681 ,23.51397 ,0.00330 ,0.07267 ,16,0
857,2004,28.72920 ,0.94793 ,-7.55479 ,0.09294 ,22.35674 ,0.01080 ,0.35614 ,27,0
1928,2012,9.63660 ,0.91692 ,-11.42068 ,0.00000 ,18.67081 ,0.27354 ,0.00000 ,15,0
1928,2018,22.65945 ,0.90607 ,-13.33123 ,,18.22756 ,0.33414 ,,37,0
1928,2013,26.89034 ,0.90607 ,-17.96815 ,0.00000 ,18.22756 ,0.33414 ,0.00000 ,37,0
1928,2011,8.44036 ,0.88228 ,0.50109 ,0.00000 ,18.71716 ,0.21537 ,0.00000 ,10,0
1928,2016,9.42674 ,0.88228 ,-8.88403 ,,18.71716 ,0.21537 ,,17,0
1928,2014,29.40766 ,0.86661 ,-31.21277 ,0.00000 ,18.28053 ,0.38197 ,0.00000 ,37,0
1898,2017,39.91159 ,0.84810 ,-41.42720 ,32.26389 ,19.02806 ,0.35665 ,6.11506 ,97,0
1088,2007,0.32837 ,0.84545 ,0.42617 ,0.03019 ,25.22563 ,0.04499 ,0.00707 ,0,0
1088,2014,0.67544 ,0.84545 ,-0.29615 ,0.01271 ,25.22563 ,0.04499 ,0.00454 ,1,0
1088,2013,0.69435 ,0.83287 ,-0.19942 ,0.00040 ,25.32111 ,0.07624 ,0.00592 ,1,0
1088,2008,0.53782 ,0.83149 ,0.02858 ,0.00017 ,24.95374 ,0.07935 ,0.01008 ,1,0
1928,2010,6.96707 ,0.82463 ,-1.33882 ,1.80706 ,18.38211 ,0.30689 ,0.00000 ,14,0
1928,2019,9.79198 ,0.74459 ,-11.13578 ,,19.15121 ,0.05719 ,,14,0
1898,2012,123.59352 ,0.73974 ,128.63771 ,13.19091 ,18.45486 ,0.76759 ,2.27940 ,105,0
1898,2016,29.00459 ,0.73974 ,-231.46655 ,84.69302 ,18.45486 ,0.76759 ,5.87578 ,117,0
2282,2013,2.18464 ,0.70706 ,-2.03101 ,0.00000 ,21.61863 ,0.05026 ,0.00000 ,3,0
992,2015,3.96891 ,0.77249 ,8.75811 ,0.00000 ,19.31531 ,0.12672 ,0.06971 ,1,0
1211,2016,0.55832 ,0.77207 ,1.38299 ,0.02148 ,23.18836 ,0.02168 ,-0.05099 ,0,1
390,2013,2.19210 ,0.76310 ,1.79936 ,0.73001 ,22.63432 ,0.09300 ,0.01494 ,1,1
1088,2011,4.49950 ,0.76049 ,-2.13825 ,0.58915 ,23.41590 ,0.16045 ,0.01970 ,5,0
390,2009,4.73915 ,0.73158 ,-0.40206 ,1.92584 ,21.33062 ,0.08341 ,-0.15091 ,10,1
390,2010,4.05129 ,0.72577 ,7.94875 ,1.96701 ,21.68885 ,0.18500 ,0.00000 ,0,1
1088,2009,3.24234 ,0.70752 ,-0.58319 ,0.00517 ,23.37152 ,0.00886 ,0.05251 ,4,0
1088,2012,4.81347 ,0.70752 ,-1.21400 ,0.40696 ,23.37152 ,0.00886 ,0.03383 ,5,0
390,2014,1.97311 ,0.70483 ,-1.70983 ,1.16177 ,22.83070 ,0.10440 ,0.03148 ,2,1
1211,2017,0.04815 ,0.69793 ,0.95679 ,0.05111 ,23.18048 ,0.01479 ,-0.00192 ,1,1
1211,2012,0.02491 ,0.69793 ,-0.10427 ,0.05087 ,23.18048 ,0.01479 ,-0.00210 ,0,0
1088,2010,3.87483 ,0.68245 ,-1.79591 ,0.23106 ,23.37160 ,0.02111 ,0.04352 ,4,0
489,2011,0.24843 ,0.68139 ,-0.05517 ,0.00109 ,24.78039 ,0.08362 ,0.00656 ,0,1
1044,2019,0.07117 ,0.66924 ,-0.09220 ,,24.98475 ,0.07789 ,,0,0
2282,2016,1.19328 ,0.65359 ,0.64087 ,,21.66223 ,0.06606 ,,1,0
2282,2011,1.89761 ,0.65330 ,-1.21092 ,0.00000 ,21.40119 ,0.02880 ,0.00000 ,3,0
1211,2019,0.31834 ,0.64055 ,0.86559 ,0.00207 ,22.75625 ,0.00227 ,-0.05536 ,2,1
2282,2017,1.18131 ,0.64044 ,0.60397 ,,21.52684 ,0.09398 ,0.00000 ,3,0
2282,2012,1.84502 ,0.64044 ,-1.59970 ,0.19978 ,21.52684 ,0.09398 ,0.00000 ,3,0
